"filename", "language", "C++", "CMake", "Markdown", "Python", "JSON", "Shell Script", "JavaScript", "comment", "blank", "total"
"/home/debral/DevSpace/RecoZoomBot/README.md", "Markdown", 0, 0, 21, 0, 0, 0, 0, 0, 8, 29
"/home/debral/DevSpace/RecoZoomBot/rzbcpp/BotRecording.cpp", "C++", 70, 0, 0, 0, 0, 0, 0, 3, 16, 89
"/home/debral/DevSpace/RecoZoomBot/rzbcpp/BotRecording.h", "C++", 29, 0, 0, 0, 0, 0, 0, 0, 6, 35
"/home/debral/DevSpace/RecoZoomBot/rzbcpp/CMakeLists.txt", "CMake", 0, 78, 0, 0, 0, 0, 0, 0, 27, 105
"/home/debral/DevSpace/RecoZoomBot/rzbcpp/ZoomBot.cpp", "C++", 150, 0, 0, 0, 0, 0, 0, 8, 37, 195
"/home/debral/DevSpace/RecoZoomBot/rzbcpp/ZoomBot.h", "C++", 54, 0, 0, 0, 0, 0, 0, 4, 18, 76
"/home/debral/DevSpace/RecoZoomBot/rzbcpp/bot_recording_wrapper.cpp", "C++", 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/home/debral/DevSpace/RecoZoomBot/rzbcpp/include/event_listeners/AuthServiceEventListener.h", "C++", 13, 0, 0, 0, 0, 0, 0, 12, 13, 38
"/home/debral/DevSpace/RecoZoomBot/rzbcpp/include/event_listeners/MeetingParticipantsCtrlEventListener.h", "C++", 39, 0, 0, 0, 0, 0, 0, 2, 4, 45
"/home/debral/DevSpace/RecoZoomBot/rzbcpp/include/event_listeners/MeetingRecordingCtrlEventListener.h", "C++", 19, 0, 0, 0, 0, 0, 0, 1, 14, 34
"/home/debral/DevSpace/RecoZoomBot/rzbcpp/include/event_listeners/MeetingReminderEventListener.h", "C++", 10, 0, 0, 0, 0, 0, 0, 6, 6, 22
"/home/debral/DevSpace/RecoZoomBot/rzbcpp/include/event_listeners/MeetingServiceEventListener.h", "C++", 18, 0, 0, 0, 0, 0, 0, 7, 9, 34
